bank_transaction_id,reference,amount,credit_date,description
bank_0074,set_0074,1952.8,2026-08-09,RAZORPAY SETTLEMENT
bank_0075,set_0075,876.4,2026-08-23,RAZORPAY SETTLEMENT
bank_0077,set_0077,976.4,2026-08-18,RAZORPAY SETTLEMENT
bank_0078,set_0078,1562.24,2026-09-03,RAZORPAY SETTLEMENT
bank_0080,set_0080,24410.0,2026-08-19,RAZORPAY SETTLEMENT
bank_0081,set_0081,976.4,2026-08-15,RAZORPAY SETTLEMENT
bank_0083,set_0083,13181.4,2026-08-17,RAZORPAY SETTLEMENT
bank_0084,set_0084,976.4,2026-08-17,RAZORPAY SETTLEMENT
bank_0085,set_0085,976.4,2026-09-05,RAZORPAY SETTLEMENT
bank_0088,set_0088,4882.0,2026-08-26,RAZORPAY SETTLEMENT
bank_0089,set_0089,21969.0,2026-08-17,RAZORPAY SETTLEMENT
bank_0090,set_0090,24410.0,2026-08-09,RAZORPAY SETTLEMENT
bank_0091,set_0091,876.4,2026-08-22,RAZORPAY SETTLEMENT
bank_0092,set_0092,1852.8,2026-09-03,RAZORPAY SETTLEMENT
bank_0094,set_0094,23910.0,2026-09-01,RAZORPAY SETTLEMENT
bank_0095,set_0095,238.2,2026-08-19,RAZORPAY SETTLEMENT
bank_0096,set_0096,976.4,2026-09-07,RAZORPAY SETTLEMENT
bank_0097,set_0097,976.4,2026-09-10,RAZORPAY SETTLEMENT
bank_0098,set_0098,9764.0,2026-08-13,RAZORPAY SETTLEMENT
bank_0099,set_0099,488.2,2026-09-11,RAZORPAY SETTLEMENT
bank_0100,set_0100,4882.0,2026-09-07,RAZORPAY SETTLEMENT
