settlement_id,payment_id,gross_amount,fee,tax,net_amount,settlement_date
set_0042,pay_0042,1000,20.0,3.6,976.4,2026-08-18
set_0043,pay_0043,2000,30.0,5.4,1464.6,2026-08-10
set_0044,pay_0044,1000,16.0,2.88,781.12,2026-08-03
set_0045,pay_0045,25000,500.0,90.0,24410.0,2026-08-27
set_0046,pay_0046,500,7.5,1.35,366.15,2026-08-26
set_0047,pay_0047,1000,20.0,3.6,976.4,2026-08-21
set_0048,pay_0048,15000,300.0,54.0,14646.0,2026-09-06
set_0049,pay_0049,5000,100.0,18.0,4882.0,2026-08-06
set_0050,pay_0050,1000,16.0,2.88,781.12,2026-08-15
set_0051,pay_0051,10000,200.0,36.0,9764.0,2026-08-10
set_0052,pay_0052,500,10.0,1.8,488.2,2026-08-22
set_0053,pay_0053,2000,40.0,7.2,1952.8,2026-08-15
set_0054,pay_0054,1500,24.0,4.32,1171.68,2026-08-27
set_0055,pay_0055,500,10.0,1.8,488.2,2026-08-26
set_0056,pay_0056,1500,30.0,5.4,1464.6,2026-08-19
set_0057,pay_0057,2000,40.0,7.2,1952.8,2026-09-11
set_0058,pay_0058,5000,100.0,18.0,4882.0,2026-08-08
set_0059,pay_0059,1500,30.0,5.4,1464.6,2026-08-21
set_0060,pay_0060,10000,200.0,36.0,9764.0,2026-08-23
set_0061,pay_0061,1000,20.0,3.6,976.4,2026-08-13
set_0062,pay_0062,25000,500.0,90.0,24410.0,2026-08-12
set_0063,pay_0063,25000,500.0,90.0,24410.0,2026-08-30
set_0064,pay_0064,5000,100.0,18.0,4882.0,2026-08-02
set_0065,pay_0065,25000,500.0,90.0,24410.0,2026-08-26
set_0066,pay_0066,1000,20.0,3.6,976.4,2026-08-11
set_0067,pay_0067,25000,500.0,90.0,24410.0,2026-08-21
set_0068,pay_0068,2000,40.0,7.2,1952.8,2026-08-30
set_0069,pay_0069,1500,30.0,5.4,1464.6,2026-08-06
set_0070,pay_0070,10000,200.0,36.0,9764.0,2026-08-03
set_0071,pay_0071,500,10.0,1.8,488.2,2026-08-09
set_0072,pay_0072,10000,160.0,28.8,7811.2,2026-08-04
set_0073,pay_0073,5000,100.0,18.0,4882.0,2026-08-24
set_0074,pay_0074,2000,40.0,7.2,1952.8,2026-08-08
set_0075,pay_0075,1000,20.0,3.6,976.4,2026-08-22
set_0076,pay_0076,2000,40.0,7.2,1952.8,2026-08-30
set_0077,pay_0077,1000,20.0,3.6,976.4,2026-08-17
set_0078,pay_0078,2000,32.0,5.76,1562.24,2026-09-02
set_0079,pay_0079,1500,30.0,5.4,1464.6,2026-08-23
set_0080,pay_0080,25000,500.0,90.0,24410.0,2026-08-18
set_0081,pay_0081,1000,20.0,3.6,976.4,2026-08-14
set_0082,pay_0082,500,10.0,1.8,488.2,2026-08-15
set_0083,pay_0083,15000,270.0,48.6,13181.4,2026-08-16
set_0084,pay_0084,1000,20.0,3.6,976.4,2026-08-16
set_0085,pay_0085,1000,20.0,3.6,976.4,2026-09-04
set_0086,pay_0086,1500,30.0,5.4,1464.6,2026-08-26
set_0087,pay_0087,1500,30.0,5.4,1464.6,2026-08-19
set_0088,pay_0088,5000,100.0,18.0,4882.0,2026-08-25
set_0089,pay_0089,25000,450.0,81.0,21969.0,2026-08-16
set_0090,pay_0090,25000,500.0,90.0,24410.0,2026-08-08
set_0091,pay_0091,1000,20.0,3.6,976.4,2026-08-21
set_0092,pay_0092,2000,40.0,7.2,1952.8,2026-09-02
set_0093,pay_0093,25000,500.0,90.0,24410.0,2026-08-09
set_0094,pay_0094,25000,500.0,90.0,24410.0,2026-08-31
set_0095,pay_0095,500,10.0,1.8,488.2,2026-08-18
set_0096,pay_0096,1000,20.0,3.6,976.4,2026-09-06
set_0097,pay_0097,1000,20.0,3.6,976.4,2026-09-09
set_0098,pay_0098,10000,200.0,36.0,9764.0,2026-08-12
set_0099,pay_0099,500,10.0,1.8,488.2,2026-09-10
set_0100,pay_0100,5000,100.0,18.0,4882.0,2026-09-06
